iata_code,name,municipality,iso_country,continent,latitude_deg,longitude_deg
AAL,Aalborg Airport,Aalborg,DK,EU,57.09275891,9.849243164
AAQ,Anapa Vityazevo Airport,Anapa,RU,EU,45.0021019,37.34730148
AAR,Aarhus Airport,Aarhus,DK,EU,56.29999924,10.61900043
ABC,Albacete-Los Llanos Airport,Albacete,ES,EU,38.94850159,-1.863520026
ABZ,Aberdeen Dyce Airport,Aberdeen,GB,EU,57.20190048,-2.197779894
ACE,Lanzarote Airport,Lanzarote Island,ES,EU,28.945499,-13.6052
ACH,St Gallen Altenrhein Airport,Altenrhein,CH,EU,47.48500061,9.560770035
ACI,Alderney Airport,Saint Anne,GG,EU,49.706104,-2.21472
AEI,Algeciras Heliport,Algeciras,ES,EU,36.12888,-5.441118
AER,Sochi International Airport,Sochi,RU,EU,43.449902,39.9566
AEY,Akureyri Airport,Akureyri,IS,EU,65.66000366,-18.0727005
AGF,Agen-La Garenne Airport,Agen/La Garenne,FR,EU,44.17470169,0.590556026
AGP,Málaga Airport,Málaga,ES,EU,36.67490005,-4.499110222
AGQ,Agrinion Air Base,Agrinion,GR,EU,38.602001,21.3512001
AHO,Alghero-Fertilia Airport,Alghero,IT,EU,40.632099,8.29077
AJR,Arvidsjaur Airport,Arvidsjaur,SE,EU,65.59030151,19.28190041
ALC,Alicante International Airport,Alicante,ES,EU,38.28219986,-0.558156013
ALF,Alta Airport,Alta,NO,EU,69.97609711,23.37170029
ALL,Villanova D'Albenga International Airport,Albenga (SV),IT,EU,44.050598,8.12743
AMS,Amsterdam Airport Schiphol,Amsterdam,NL,EU,52.308601,4.76389
ANR,Antwerp International Airport (Deurne),Antwerp,BE,EU,51.18939972,4.460279942
ANX,Andøya Airport,Andenes,NO,EU,69.29250336,16.14419937
AOI,Ancona Falconara Airport,Ancona,IT,EU,43.616299,13.3623
AOK,Karpathos Airport,Karpathos Island,GR,EU,35.42139816,27.14599991
AOT,Aosta Airport,Aosta,IT,EU,45.738499,7.36872
ARH,Talagi Airport,Archangelsk,RU,EU,64.60030365,40.71670151
ARN,Stockholm-Arlanda Airport,Stockholm,SE,EU,59.65190125,17.91860008
ARW,Arad International Airport,Arad,RO,EU,46.17660141,21.26199913
ASF,Astrakhan Airport,Astrakhan,RU,EU,46.28329849,48.00630188
ATH,Eleftherios Venizelos International Airport,Athens,GR,EU,37.93640137,23.94449997
AUR,Aurillac Airport,Aurillac,FR,EU,44.89139938,2.421940088
AVN,Avignon-Caumont Airport,Avignon/Caumont,FR,EU,43.90729904,4.901830196
AXD,Dimokritos Airport,Alexandroupolis,GR,EU,40.85589981,25.95630074
BAY,Maramureș International Airport,Baia Mare,RO,EU,47.660598,23.467252
BBU,Băneasa International Airport,Bucharest,RO,EU,44.50320053,26.10210037
BCM,Bacău Airport,Bacău,RO,EU,46.52190018,26.9102993
BCN,Barcelona International Airport,Barcelona,ES,EU,41.2971,2.07846
BDS,Brindisi – Salento Airport,Brindisi,IT,EU,40.6576,17.947001
BDU,Bardufoss Airport,Målselv,NO,EU,69.05580139,18.54039955
VLY,Anglesey Airport,Angelsey,GB,EU,53.24810028,-4.535339832
BEG,Belgrade Nikola Tesla Airport,Belgrade,RS,EU,44.81840134,20.3090992
BES,Brest Bretagne Airport,Brest/Guipavas,FR,EU,48.44789886,-4.418540001
TRE,Tiree Airport,Balemartine,GB,EU,56.49919891,-6.869170189
BGC,Bragança Airport,Bragança,PT,EU,41.8578,-6.70713
BGO,Bergen Airport Flesland,Bergen,NO,EU,60.29339981,5.218140125
BGY,Il Caravaggio International Airport,Bergamo,IT,EU,45.673901,9.70417
BEB,Benbecula Airport,Balivanich,GB,EU,57.48109818,-7.362780094
BFS,Belfast International Airport,Belfast,GB,EU,54.65750122,-6.215829849
BIA,Bastia-Poretta Airport,Bastia/Poretta,FR,EU,42.55270004,9.483730316
BIO,Bilbao Airport,Bilbao,ES,EU,43.30110168,-2.910609961
BIQ,Biarritz-Anglet-Bayonne Airport,Biarritz/Anglet/Bayonne,FR,EU,43.4683333,-1.5311111
BJF,Båtsfjord Airport,Båtsfjord,NO,EU,70.60050201,29.69140053
BJZ,Badajoz Airport,Badajoz,ES,EU,38.8913002,-6.82133007
BKA,Bykovo Airport,Moscow,RU,EU,55.61719894,38.06000137
BHD,George Best Belfast City Airport,Belfast,GB,EU,54.61809921,-5.872499943
BLL,Billund Airport,Billund,DK,EU,55.74029922,9.151780128
BLQ,Bologna Guglielmo Marconi Airport,Bologna,IT,EU,44.5354,11.2887
BMA,Stockholm-Bromma Airport,Stockholm,SE,EU,59.35440063,17.94169998
BMK,Borkum Airport,Borkum,DE,EU,53.59639,6.709167
BNN,Brønnøysund Airport,Brønnøy,NO,EU,65.46109772,12.21749973
BNX,Banja Luka International Airport,Banja Luka,BA,EU,44.94139862,17.29750061
BOD,Bordeaux-Mérignac Airport,Bordeaux/Mérignac,FR,EU,44.82830048,-0.715556026
BHX,Birmingham International Airport,Birmingham,GB,EU,52.45389938,-1.748029947
BOJ,Burgas Airport,Burgas,BG,EU,42.56959915,27.51519966
BOO,Bodø Airport,Bodø,NO,EU,67.26920319,14.36530018
BQG,Bogorodskoye Airport,Bogorodskoye,RU,EU,52.38,140.448
BQT,Brest Airport,Brest,BY,EU,52.108299,23.8981
BRE,Bremen Airport,Bremen,DE,EU,53.04750061,8.786669731
BRI,Bari Karol Wojtyła Airport,Bari,IT,EU,41.138901,16.760599
BRN,Bern Belp Airport,Bern,CH,EU,46.91410065,7.497149944
BRQ,Brno-Tuřany Airport,Brno,CZ,EU,49.15129852,16.69440079
BLK,Blackpool International Airport,Blackpool,GB,EU,53.77170181,-3.028609991
BOH,Bournemouth Airport,Bournemouth,GB,EU,50.77999878,-1.842499971
BRU,Brussels Airport,Brussels,BE,EU,50.90140152,4.48443985
BRV,Bremerhaven Airport,Bremerhaven,DE,EU,53.506943,8.572778
BSL,EuroAirport Basel-Mulhouse-Freiburg Airport,Bâle/Mulhouse,FR,EU,47.59,7.5291667
BTS,M. R. Štefánik Airport,Bratislava,SK,EU,48.17020035,17.21269989
BUD,Budapest Liszt Ferenc International Airport,Budapest,HU,EU,47.42976,19.261093
BVA,Paris Beauvais Tillé Airport,Beauvais/Tillé,FR,EU,49.45439911,2.112780094
BVE,Brive-Souillac,Brive la Gaillarde,FR,EU,45.039722,1.485556
BVG,Berlevåg Airport,Berlevåg,NO,EU,70.871399,29.034201
BWE,Braunschweig-Wolfsburg Airport,Braunschweig,DE,EU,52.319199,10.5561
BWK,Bol Airport,Brač Island,HR,EU,43.28570175,16.67970085
BWO,Balakovo Airport,Balakovo,RU,EU,51.85829926,47.74560165
BZG,Bydgoszcz Ignacy Jan Paderewski Airport,Bydgoszcz,PL,EU,53.09680176,17.97769928
BZK,Bryansk Airport,Bryansk,RU,EU,53.214199,34.176399
BZO,Bolzano Airport,Bolzano,IT,EU,46.460201,11.3264
BZR,Béziers-Vias Airport,Béziers/Vias,FR,EU,43.32350159,3.353899956
BRS,Bristol Airport,Bristol,GB,EU,51.382702,-2.71909
CAG,Cagliari Elmas Airport,Cagliari,IT,EU,39.251499,9.05428
BZZ,RAF Brize Norton,Brize Norton,GB,EU,51.75,-1.58362
CAT,Cascais Airport,Cascais,PT,EU,38.724998,-9.35523
CCF,Carcassonne Airport,Carcassonne/Salvaza,FR,EU,43.2159996,2.306319952
CDG,Charles de Gaulle International Airport,Paris,FR,EU,49.012798,2.55
CDT,Castellón-Costa Azahar Airport,Castellón de la Plana,ES,EU,40.213889,0.073333
CEE,Cherepovets Airport,Cherepovets,RU,EU,59.27360153,38.01580048
CAL,Campbeltown Airport,Campbeltown,GB,EU,55.43719864,-5.686389923
CEK,Chelyabinsk Balandino Airport,Chelyabinsk,RU,EU,55.305801,61.5033
CEQ,Cannes-Mandelieu Airport,Cannes/Mandelieu,FR,EU,43.542,6.95348
CER,Cherbourg-Maupertus Airport,Cherbourg/Maupertus,FR,EU,49.65010071,-1.470280051
CFE,Clermont-Ferrand Auvergne Airport,Clermont-Ferrand/Auvergne,FR,EU,45.7867012,3.169169903
CFN,Donegal Airport,Donegal,IE,EU,55.0442009,-8.340999603
CFR,Caen-Carpiquet Airport,Caen/Carpiquet,FR,EU,49.1733017,-0.449999988
CFU,Ioannis Kapodistrias International Airport,Kerkyra Island,GR,EU,39.60189819,19.9116993
CGN,Cologne Bonn Airport,Cologne,DE,EU,50.86589813,7.142739773
CHQ,Chania International Airport,Souda,GR,EU,35.53170013,24.14970016
CIA,Ciampino–G. B. Pastine International Airport,Rome,IT,EU,41.7994,12.5949
CLJ,Cluj-Napoca International Airport,Cluj-Napoca,RO,EU,46.78519821,23.68619919
CLY,Calvi-Sainte-Catherine Airport,Calvi/Sainte-Catherine,FR,EU,42.5244444,8.7930556
CMF,Chambéry-Savoie Airport,Chambéry/Aix-les-Bains,FR,EU,45.63809967,5.88022995
CND,Mihail Kogălniceanu International Airport,Constanţa,RO,EU,44.36220169,28.48830032
CNL,Sindal Airport,Sindal,DK,EU,57.503502,10.2294
CPH,Copenhagen Kastrup Airport,Copenhagen,DK,EU,55.61790085,12.65600014
CRL,Brussels South Charleroi Airport,Brussels,BE,EU,50.459202,4.45382
CRV,Crotone Airport,Crotone,IT,EU,38.9972,17.0802
CSH,Solovki Airport,Solovetsky Islands,RU,EU,65.02999878,35.73333359
CSY,Cheboksary Airport,Cheboksary,RU,EU,56.09030151,47.34730148
CTA,Catania-Fontanarossa Airport,Catania,IT,EU,37.466801,15.0664
CUF,Cuneo International Airport,Cuneo,IT,EU,44.547001,7.62322
CVU,Corvo Airport,Corvo,PT,EU,39.671501,-31.1136
CWC,Chernivtsi International Airport,Chernivtsi,UA,EU,48.25930023,25.98080063
CWL,Cardiff International Airport,Cardiff,GB,EU,51.39670181,-3.343329906
DBV,Dubrovnik Airport,Dubrovnik,HR,EU,42.56140137,18.26819992
DCM,Castres-Mazamet Airport,Castres/Mazamet,FR,EU,43.55630112,2.28918004
DEB,Debrecen International Airport,Debrecen,HU,EU,47.48889923,21.61529922
DIJ,Dijon-Bourgogne Airport,Dijon/Longvic,FR,EU,47.268902,5.09
DLE,Dole-Tavaux Airport,Dole/Tavaux,FR,EU,47.042686,5.435063
DLR,Dalnerechensk Airport,Dalnerechensk,RU,EU,45.8783,133.7363
DLR,Dalnerechensk Airport,Dalnerechensk,RU,EU,45.8783,133.7363
DME,Domodedovo International Airport,Moscow,RU,EU,55.40879822,37.90629959
LDY,City of Derry Airport,Derry,GB,EU,55.0428009,-7.161109924
DNK,Dnipropetrovsk International Airport,Dnipropetrovsk,UA,EU,48.35720062,35.1006012
DNR,Dinard-Pleurtuit-Saint-Malo Airport,Dinard/Pleurtuit/Saint-Malo,FR,EU,48.58769989,-2.079960108
DOK,Donetsk International Airport,Donetsk,UA,EU,48.073601,37.7397
DPT,Deputatskiy Airport,Deputatskiy,RU,EU,69.392503,139.890012
DRS,Dresden Airport,Dresden,DE,EU,51.13280106,13.76720047
DSA,Robin Hood Doncaster Sheffield Airport,Doncaster,GB,EU,53.48053781,-1.010656357
DTM,Dortmund Airport,Dortmund,DE,EU,51.5182991,7.612239838
DUB,Dublin Airport,Dublin,IE,EU,53.421299,-6.27007
DUS,Düsseldorf Airport,Düsseldorf,DE,EU,51.289501,6.76678
DYR,Ugolny Airport,Anadyr,RU,EU,64.734902,177.740997
EAS,San Sebastian Airport,Hondarribia,ES,EU,43.35649872,-1.790609956
EBA,Marina Di Campo Airport,Marina  Di Campo,IT,EU,42.7603,10.2394
EBJ,Esbjerg Airport,Esbjerg,DK,EU,55.525902,8.5534
DND,Dundee Airport,Dundee,GB,EU,56.45249939,-3.02583003
EFL,Kefallinia Airport,Kefallinia Island,GR,EU,38.12009811,20.50049973
EGC,Bergerac-Roumanière Airport,Bergerac/Roumanière,FR,EU,44.82529831,0.518611014
EGO,Belgorod International Airport,Belgorod,RU,EU,50.64379883,36.59009933
EGS,Egilsstaðir Airport,Egilsstaðir,IS,EU,65.28330231,-14.40139961
EIK,Yeysk Airport,Yeysk,RU,EU,46.68,38.21
EIN,Eindhoven Airport,Eindhoven,NL,EU,51.45009995,5.374529839
EKS,Shakhtyorsk Airport,Shakhtersk,RU,EU,49.1903,142.082993
MME,Durham Tees Valley Airport,Durham,GB,EU,54.50920105,-1.429409981
EME,Emden Airport,Emden,DE,EU,53.391109,7.2275
ENF,Enontekio Airport,Enontekio,FI,EU,68.36260223,23.42429924
EOI,Eday Airport,Eday,GB,EU,59.19060135,-2.772219896
EPU,Pärnu Airport,Pärnu,EE,EU,58.41899872,24.4727993
ERF,Erfurt Airport,Erfurt,DE,EU,50.97980118,10.95810032
ESL,Elista Airport,Elista,RU,EU,46.37390137,44.33089828
ETZ,Metz-Nancy-Lorraine Airport,Metz / Nancy,FR,EU,48.98210144,6.251319885
EVE,"Harstad/Narvik Airport, Evenes",Evenes,NO,EU,68.49130249,16.67810059
EDI,Edinburgh Airport,Edinburgh,GB,EU,55.95000076,-3.372499943
FAE,Vagar Airport,Vagar,FO,EU,62.06359863,-7.277219772
FAO,Faro Airport,Faro,PT,EU,37.01440048,-7.965909958
FCO,Leonardo da Vinci–Fiumicino Airport,Rome,IT,EU,41.8002778,12.2388889
FDE,Førde Airport,Førde,NO,EU,61.39110184,5.756939888
FDH,Friedrichshafen Airport,Friedrichshafen,DE,EU,47.67129898,9.511489868
BRR,Barra Airport,Eoligarry,GB,EU,57.0228,-7.44306
FKB,Karlsruhe Baden-Baden Airport,Baden-Baden,DE,EU,48.77939987,8.080499649
FLR,Peretola Airport,Firenze,IT,EU,43.810001,11.2051
FLW,Flores Airport,Santa Cruz das Flores,PT,EU,39.45529938,-31.13139915
FMM,Memmingen Allgau Airport,Memmingen,DE,EU,47.98880005,10.23950005
FMO,Münster Osnabrück Airport,Münster,DE,EU,52.13460159,7.684830189
FNC,Madeira Airport,Funchal,PT,EU,32.697899,-16.7745
FNI,Nîmes-Arles-Camargue Airport,Nîmes/Garons,FR,EU,43.75740051,4.416349888
EXT,Exeter International Airport,Exeter,GB,EU,50.7344017,-3.413889885
FOG,"Foggia ""Gino Lisa"" Airport",Foggia,IT,EU,41.432899,15.535
FRA,Frankfurt am Main Airport,Frankfurt am Main,DE,EU,50.033333,8.570556
FRL,Forlì Airport,Forlì (FC),IT,EU,44.194801,12.0701
FRO,Florø Airport,Florø,NO,EU,61.58359909,5.024720192
FSC,Figari Sud-Corse Airport,Figari Sud-Corse,FR,EU,41.50059891,9.097780228
FUE,Fuerteventura Airport,Fuerteventura Island,ES,EU,28.45269966,-13.86380005
GCI,Guernsey Airport,Saint Peter Port,GG,EU,49.43500137,-2.601969957
GDN,Gdańsk Lech Wałęsa Airport,Gdańsk,PL,EU,54.37760162,18.46619987
GDZ,Gelendzhik Airport,Gelendzhik,RU,EU,44.58209263,38.01248074
GEV,Gällivare Airport,Gällivare,SE,EU,67.13240051,20.81459999
GIB,Gibraltar Airport,Gibraltar,GI,EU,36.15119934,-5.34965992
FIE,Fair Isle Airport,Fair Isle,GB,EU,59.53580093,-1.628059983
GME,Gomel Airport,Gomel,BY,EU,52.52700043,31.01670074
GMZ,La Gomera Airport,"Alajero, La Gomera Island",ES,EU,28.02960014,-17.21459961
GNA,Hrodna Airport,Hrodna,BY,EU,53.60200119,24.05380058
GNB,Grenoble-Isère Airport,Grenoble/Saint-Geoirs,FR,EU,45.36289978,5.329370022
GOA,Genoa Cristoforo Colombo Airport,Genova,IT,EU,44.4133,8.8375
GOJ,Nizhny Novgorod Strigino International Airport,Nizhny Novgorod,RU,EU,56.23009872,43.7840004
GOT,Gothenburg-Landvetter Airport,Gothenburg,SE,EU,57.66279984,12.27980042
GPA,Araxos Airport,Patras,GR,EU,38.1511,21.4256
GRO,Girona Airport,Girona,ES,EU,41.90100098,2.760550022
GRQ,Eelde Airport,Groningen,NL,EU,53.11970139,6.579440117
GRV,Grozny North Airport,Grozny,RU,EU,43.388302,45.698601
GRW,Graciosa Airport,Santa Cruz da Graciosa,PT,EU,39.09220123,-28.02980042
GRX,Federico Garcia Lorca Airport,Granada,ES,EU,37.18870163,-3.777359962
GRY,Grímsey Airport,Grímsey,IS,EU,66.5458,-18.0173
GRZ,Graz Airport,Graz,AT,EU,46.99110031,15.43959999
GVA,Geneva Cointrin International Airport,Geneva,CH,EU,46.23809814,6.108950138
GWT,Westerland Sylt Airport,Westerland,DE,EU,54.91320038,8.340470314
GWY,Galway Airport,Galway,IE,EU,53.30020142,-8.941590309
GZM,Xewkija Heliport,Gozo,MT,EU,36.027199,14.2728
HAA,Hasvik Airport,Hasvik,NO,EU,70.48670197,22.13969994
HAD,Halmstad Airport,Halmstad,SE,EU,56.69110107,12.82019997
HAJ,Hannover Airport,Hannover,DE,EU,52.46110153,9.685079575
HAM,Hamburg Airport,Hamburg,DE,EU,53.63040161,9.988229752
HAU,Haugesund Airport,Karmøy,NO,EU,59.34529877,5.208360195
HDF,Heringsdorf Airport,Heringsdorf,DE,EU,53.87870026,14.15229988
HEI,Heide-Büsum Airport,Büsum,DE,EU,54.15333176,8.901666641
HEL,Helsinki Vantaa Airport,Helsinki,FI,EU,60.31719971,24.9633007
HER,Heraklion International Nikos Kazantzakis Airport,Heraklion,GR,EU,35.33969879,25.18029976
HFN,Hornafjörður Airport,Höfn,IS,EU,64.295601,-15.2272
HFT,Hammerfest Airport,Hammerfest,NO,EU,70.67970276,23.66860008
HGL,Helgoland-Düne Airport,Helgoland,DE,EU,54.18527985,7.915832996
HHN,Frankfurt-Hahn Airport,Frankfurt am Main,DE,EU,49.9487,7.26389
HOQ,Hof-Plauen Airport,Hof,DE,EU,50.28861237,11.85638905
HOR,Horta Airport,Horta,PT,EU,38.51990128,-28.71590042
HRK,Kharkiv International Airport,Kharkiv,UA,EU,49.92480087,36.29000092
HTA,Chita-Kadala Airport,Chita,RU,EU,52.026299,113.306
FOA,Foula Airfield,Foula,GB,EU,60.121725,-2.053202
HVG,Valan Airport,Honningsvåg,NO,EU,71.00969696,25.98360062
HZK,Húsavík Airport,Húsavík,IS,EU,65.952301,-17.426001
IAS,Iaşi Airport,Iaşi,RO,EU,47.17850113,27.62059975
IBZ,Ibiza Airport,Ibiza,ES,EU,38.8728981,1.37311995
IDY,Île d'Yeu Airport,Île d'Yeu,FR,EU,46.71860123,-2.391109943
IEG,Zielona Góra-Babimost Airport,Babimost,PL,EU,52.13850021,15.7986002
IEV,Kiev Zhuliany International Airport,Kiev,UA,EU,50.40194,30.45194
